,y,b,b-h2o,a,b-nh3,y-nh3,b-h2o-h2o
1,2.807305159197551,0.9916401691159419,0.0,-3.1354942159291497,-1.1895840668738362,-3.1354942159291497,-2.4423470353692043
2,2.854378155248259,0.9694005571881036,0.16705408466316624,-3.0910424533583156,-1.4816045409242153,-1.992430164690206,-1.992430164690206
3,3.386808644210056,1.0745147370890493,0.4054651081081644,-1.540445040947149,-1.0296194171811581,0.0,-1.9459101490553135
4,2.413359498495952,0.158224005214894,-0.29725152346793177,-2.8622008809294686,-2.456735772821304,0.0,-2.8622008809294686
5,2.695146796266302,0.7492366472109889,0.109199291964992,0.0,-2.159484249353372,0.0,-2.5649493574615367
6,3.0680529351336174,0.9382696385929304,0.6649763035932492,-1.0986122886681096,-1.791759469228055,0.0,-1.2809338454620642
7,2.7650604558189897,0.6097655716208942,-0.1743533871447778,-2.5257286443082556,-1.4271163556401458,0.0,-2.120263536200091
8,2.207750990323207,0.13353139262452257,-0.7932306391169279,-3.044522437723423,-2.3513752571634776,-3.7376696182833684,-3.044522437723423
9,2.822460552279954,1.128465251817791,0.16705408466316624,-1.992430164690206,-2.3978952727983707,-1.7047480922384253,-1.4816045409242153
10,1.3075134832667763,0.7156200364120039,-0.8938178760220965,-4.189654742026425,-3.0910424533583156,-1.054160526097276,-4.189654742026425
11,-1.0388930539664876,1.5718159206445161,-1.2840155119994725,-3.0757749812275272,-2.7880929087757464,0.10227884912041806,-3.481240089335692
12,-1.2237754316221157,1.2375213525267508,-1.6700625342505353,-3.056356895370426,-3.3440389678222067,-0.15219181534192552,-4.442651256490317
13,-1.3040562628829186,1.4816045409242153,-1.6094379124341005,-2.8622008809294686,-2.302585092994046,0.06899287148695142,-3.1498829533812494
14,-1.1826954058786512,1.566597753757608,-1.488077055429833,-2.740840023925201,-2.3353749158170367,0.4054651081081644,-2.517696472610991
15,-0.8630462173553428,1.5614286932477397,-1.5939337258981352,-3.0602707946915624,-2.367123614131617,0.17185025692665923,-2.367123614131617
16,-1.6691571471357227,1.486205272010152,-1.1430640512389436,-3.1354942159291497,-2.847812143477369,0.14792013007662208,-2.847812143477369
17,-1.2119409739751128,1.245937003424968,-1.540445040947149,-3.332204510175204,-2.639057329615259,-0.1823215567939546,-3.7376696182833684
18,-1.0857088838322018,1.4023977686864693,-1.6357552207514738,-2.264363880173848,-2.734367509419583,-0.35482137528940944,-3.6506582412937383
19,-1.3862943611198906,0.5027284135333713,-1.4529857356185627,-1.0826119473216684,-2.8743714165497236,-0.8312975190407624,-2.740840023925201
20,-1.133098464739279,-0.6875133628416893,-1.3049487216659381,-0.6222728409732882,-2.5370924029585704,-2.342936388517613,-4.07753744390572
21,-1.0626186860202043,-1.2092221602120798,-1.4680837941283686,-0.4986832369402653,-2.4190600839904137,-3.6428355156125294,-3.865979066926739
22,-1.0757541505920596,-0.9047963524484197,-1.3920914788042167,-0.3575010489010378,-1.9752377641498333,-4.054679305829669,-3.207381445442466
23,-1.0986122886681096,-1.1160040313799788,-1.1700712526502546,-0.33877373360949214,-2.3864665769747475,-2.856470206220483,-3.2131451501592156
24,-0.8417882045762339,-1.191163846033355,-1.3698556347767308,-0.4889668299534916,-2.559439701650567,-3.252586882210512,-3.11905548958599
25,-1.0360919316867756,-0.9630667966718859,-1.3755990720031426,-0.5343987914840574,-2.740840023925201,-3.4339872044851463,-4.127134385045092
26,-1.0778861581509926,-1.381072417138739,-1.5887117819169834,-0.4815888035809651,-2.54422322694442,-2.54422322694442,-3.0550488507104108
27,-1.4415570397949402,-1.11487280953989,-1.313723668285055,-0.6824518914431974,-1.6422277352570913,-2.3353749158170367,-2.8278514009148306
28,-1.709521370991083,-1.4350845252893225,-1.5859074150239063,-0.9403882834532155,-2.9492122579190982,-1.7361896180732443,-1.9798117007309946
29,-2.349302717561505,-1.8472107737642693,-1.5727739280625088,-1.901277995034545,-2.4402744957672318,-1.3416622070991222,-2.152592423315451
30,-2.8134107167600364,-2.1541650878757723,-1.4784096500276962,-2.9565115604007097,-2.385966701933097,-1.287354413264987,-1.7372712839439852
31,-2.5466840094842436,-1.6910178994265233,-1.3909133069761852,-2.5466840094842436,-2.0476928433652555,-1.0894379123920686,-1.3909133069761852
32,-2.760800766487739,-2.007028964111359,-1.6213664832993742,-3.453947947047684,-2.067653585927794,-1.359002218831883,-1.795719870444152
33,-2.3938695520781597,-2.265991085756425,-1.7006096383012526,-2.440249995127029,-2.226694062938488,-1.280115065316381,-1.5727447037678979
34,-2.8599890845007656,-1.9592846558974262,-1.5537687128249622,-2.591636778188652,-2.4293187873622,-1.0429634227345892,-1.4931201695665417
35,-2.9054846971868296,-1.8376571645051072,-1.2779384736790516,-2.9054846971868296,-2.12529121429018,-0.8966351674692136,-1.519190336066939
36,-2.48480378923596,-2.1219519606015305,-1.5685624291063656,-3.3116587012736245,-2.038625307663345,-1.365667936312749,-1.496289993444505
37,-2.7245271264657434,-2.031379945905798,-1.5081712459830856,-2.8580078078653255,-2.0958948014850383,-0.8527522566735595,-1.1930987279459917
38,-2.639119045946448,-2.051268378996242,-1.8505831381853293,-2.8621185984124,-2.3026056646812334,-1.3581211984362964,-1.2527526828104698
39,0.0,0.0,-1.2237874314541182,-2.8332933456562905,-2.140146165096345,-0.7538093023295096,-2.8332933456562905
40,0.0,0.0,0.0,0.0,-1.0986122886681098,0.0,0.0
-1,-2.634444867813054,-2.4384274379886737,-0.33202580866407816,-0.3325885548803924,-0.11449370013905605,-0.3386955826608953,-0.13937523797069834
